件名,開始日,開始時刻,終了時刻,場所
老眼大学,2025/3/18,22:00:00,23:00:00,
本練習,2025/3/31,13:00:00,16:30:00,
春強化練習,2025/3/10,13:00:00,18:45:00,
春強化練習,2025/3/13,13:00:00,18:45:00,
KKR合同練習,2025/3/17,13:30:00,16:30:00,
本練習,2025/3/24,13:00:00,16:30:00,
KKR合同練習,2025/3/27,13:30:00,16:30:00,
武庫川女子大学コーラス部演奏会,2025/3/8,0:00:00,0:00:00,
新歓部会,2025/3/1,17:30:00,18:30:00,
本練習,2025/3/1,13:00:00,16:30:00,
PFK・本練習,2025/3/8,13:00:00,16:30:00,
本練習,2025/3/15,13:00:00,16:30:00,
本練習,2025/3/29,13:00:00,16:30:00,
本練習,2025/3/6,13:00:00,16:30:00,
